municipality,population
Mayo,0
Mayo,540
Mayook,0
Maywood,0
Mazenod,10
Mazerolle Settlement,0
McAdam,1261
McAdams Lake,0
McAlpine,0
McAlpine Corners,0
McAlpines,0
McArras Brook,0
McBean,0
McBean Harbour,0
McBride,588
McCain Settlement,0
McCallum Settlement,0
McCarleys Corners,0
McCarthy Park,0
McClures Mills,0
McCluskeys Corners,0
McConnel,0
McCool,0
McCormick,0
McCourts Corner,0
McCracken Landing,0
McCrackens Landing,0
McCrackins Beach,0
McCrae,0
McCreadyville,0
McCreary,0
McCrearys,0
McCreary's Shore,0
McCrimmon,0
McCulloughs Landing,0
McDonald Corner,0
McDonald Court,0
McDougall,0
McDougall Mills,0
McFarlane Lake,0
McGary Flats,0
McGaw,0
McGee,0
McGinleys Corner,0
McGinnis Creek,0
McGrath,0
McGraths Cove,0
McGregor,0
McGregor,0
McGregor Bay,0
McGregor Brook,0
McGuire Settlement,0
McIntosh,0
McIntosh,0
McIntosh Mills,0
McIntosh Springs,0
McIntyre,0
McIntyre,0
McIver,0
McIver's,0
McKague,0
McKays Corner,0
McKay's Corners,0
McKay Section,0
McKay's Waterfront,0
McKee,0
McKees Mills,0
McKellar Heights,0
McKenzie Island,0
McKenzie Lake,0
McKinley Landing,0
McKinleyville,0
McLaren's Bay,0
McLaren's Beach,0
McLarens Settlement,0
McLaughlin,0
McLean,0
McLean,0
McLean Settlement,0
McLellans Brook,0
McLellans Mountain,0
McLennan,695
McLeod,0
McLeod Hill,0
McLeods Crossing,0
McLeodville,0
McLure,0
McMahon,0
McMasterville,5936
McMillans Corners,0
McMinn,0
McMorran,0
McMunn,0
McMurdo,0
McMurrich,0
McNab,0
McNabs Island,0
McNairn,0
McNallys,0
McNaughton Shore,0
McNutts Island,0
McPhersons Mills,0
McQuade,0
McQueen,0
McRae Beach,0
McReynolds,0
McRoberts Corner,0
McTaggart,0
McVicar,0
McWatters,0
Meacham,0
Mead,0
Meadow,0
Meadow,0
Meadow Bank,0
Meadow Brook,0
Meadow Creek,0
Meadow Green,0
Meadow Green,0
Meadow Lake,5266
Meadowlands,0
Meadow Park,0
Meadows,0
Meadow Springs,0
Meadows Road,0
Meadowvale,0
Meadowvale,0
Meadowvale South,0
Meadowvale Village,0
Meadowvale West,0
Meadowville,0
Meadow Wood,0
Meaford,4910
Meaghers Grant,0
Meander River,0
Meat Cove,0
Meath Park,0
Mechanic Settlement,0
Mechanicsville,0
Medford,0
Medicine Hat,63138
Medina,0
Medley,0
Medonte,0
Medstead,0
Meductic,180
Medway Heights,0
Mehan,0
Meigs Corners,0
Meilleurs Bay,0
Melancthon,0
Melanson,0
Melanson Settlement,0
Melaval,0
Melboro,0
Melbourne,0
Melbourne Ridge,0
Meldrum Bay,0
Melford,0
Melfort,5778
Melissa,0
Melita,1042
Mellon,0
Melrose,0
Melrose,0
Melrose,0
Melrose,0
Melrose,0
Melrose Gardens,0
Melvern Square,0
Melville,0
Melville,0
Melville,4127
Melville Beach,0
Melville Cove,0
Melvin Settlement,0
Memel Settlement,0
Memramcook,5029
Memramcook,0
Memramcook East,0
Memramcook West,0
Mendham,0
Menie,0
Mennon,0
Mennonite Corner,0
Menoke Beach,0
Meota,0
Mercer Settlement,0
Merid,0
Merigomish,0
Merivale,0
Merivale Gardens,0
Merland,0
Merrickville,0
Merrickville-Wolford,0
Merritt,7139
Merritton,0
Mersey Point,0
Merville,0
Mervin,0
Mesachie Lake,0
Messines,0
Métabetchouan,2123
Metagama,0
Metcalfe,1776
Metchosin,5067
Meteghan,0
Meteghan Centre,0
Meteghan River,0
Meteghan Station,0
Metinota,0
Metiskow,0
Metlakatla,0
Metropolitan,0
Metz,0
Mewatha Beach,0
Meyersburg,0
Meyonhk,0
Meyronne,0
Miami,464
Miami Beach,0
Mica Creek,0
Michichi,0
Michipicoten,0
Micksburg,0
Micoua,0
Midale,0
Middle Arm,0
Middle Barneys River,0
Middle Bay,0
Middleboro,0
Middlebro,0
Middle Cape,0
Middle Country Harbour,0
Middle Coverdale,0
Middle East Pubnico,0
Middlefield,0
Middlegate,0
Middle LaHave,0
Middle Lake,0
Middle Manchester,0
Middlemarch,0
Middle Melford,0
Middlemiss,0
Middle Musquodoboit,0
Middle New Cornwall,0
Middle Ohio,0
Middleport,0
Middle Porters Lake,0
Middle River,0
Middle River,0
Middle River,0
Middle Sackville,0
Middle Sackville,0
Middlesex,0
Middle Southampton,0
Middle Stewiacke,0
Middleton,1832
Middleton,1391
Middleton,0
Middle Village,0
Middle West Pubnico,0
Middlewood,0
Midgic,0
Midhurst,0
Midhurst Station,0
Midland,0
Midland,0
Midland,0
Midland,24353
Midland Point,0
Midlothian,0
Midville Branch,0
Midway,0
Midway,651
Midwood,0
Migisi Sahgaigan,0
Mikkola,0
Milan,0
Milberta,0
Milburn,0
Milby,0
Milden,0
Mildmay,1219
Mildred,0
Miles Cove,0
Milestone,0
Milford,0
Milford,0
Milford,0
Milford Haven,0
Milford Haven,0
Milford Station,0
Milkish,0
Milk River,0
Millar,0
Millar Hill,0
Millars Corner,0
Millars Corners,0
Millarton,0
Millbank,0
Mill Bay,7200
Millbridge,0
Millbrook,0
Millbrook,1695
Mill Brook,0
Mill Cove,0
Mill Cove,0
Mill Creek,0
Mill Creek,0
Milldale,0
Mille-Isles,0
Millerand,0
Miller Creek,0
Millerdale,0
Miller Lake,0
Miller Road,0
Millers Corner,0
Miller's Hill,0
Millers Landing,0
Millerton,0
Millertown,0
Millet,1905
Millgrove,0
Millhaven,0
Millidgeville,0
Millington,0
Mill Pond,0
Mill Road,0
Mill Road,0
Mills Corners,0
Mill Section,0
Mill Settlement West,0
Millstream,0
Millsville,0
Milltown,0
Milltown,0
Milltown-Head of Bay D'Espoir,0
Millvale,0
Millview,0
Mill Village,0
Mill Village,0
Millville,0
Millville Boularderie,0
Millwood,0
Milner,0
Milner Ridge,0
Milnes Landing,0
Milnet,0
Milo,0
Milsap,0
Milton,0
Milton Heights,0
Miltonvale Park,0
Milverton,0
Mimico Beach,0
Miminegash,0
Mimosa,0
Minahico,0
Minaki,0
Minasville,0
Minataree,0
Minburn,0
Mindemoya,0
Mine Centre,0
Mine-de-Mica,0
Mineral Springs,0
Miners Bay,0
Minesing,0
Mineville,0
Minet's Point,0
Minett,0
Mingan,407
Ming's Bight,0
Miniota,0
Minitonas,0
Mink Brook,0
Mink Cove,0
Mink Lake,0
Minnedosa,2449
Minniehill,0
Minnipuka,0
Minnitaki,0
Minnow Lake,0
Minstrel Island,0
Minto,2234
Minto,0
Minto,0
Minto,0
Minton,0
Minton,0
Minudie,0
Miquelon,0
Mirabel,34626
Miracle Valley,0
Mira Gut,0
Miramichi,17537
Mira Road,0
Miron,0
Mirror,481
Mirror Lake,0
Miscouche,0
Mispec,0
Missanabie,0
Mission,0
Mission,33261
Mississauga,717961
Mississauga Beach,4662
Mississauga Valley,0
Mississippi Mills,0
Mississippi Station,0
Missouri,0
Mistassini,0
Mistatim,0
Mistissini,2869
Mistissini,0
Mistusinne,0
Mitchell,0
Mitchell,0
Mitchell Heights,0
Mitchell Square,0
Mitchellton,0
Mitchellville,0
Miworth,0
Moberly Lake,0
Mobert,0
Mobile,494
Moe's River,0
Moffat,0
Moffet,0
Mohannes,0
Mohawk Meadows,0
Mohr Corners,0
Moira,0
Mokomon,0
Molega,0
Molesworth,0
Molson,0
Molson Landing,0
Moltke,0
Molus River,0
Monarch,0
Monastery,0
Monck,0
Monck Road,0
Moncrieff,0
Moncton,86106
Moncton Road,0
Monet,0
Monetville,0
Moneymore,0
Mongolia,0
Monitor,0
Monks Head,0
Monkton,0
Monnoir,0
Mono,0
Mono,0
Mono Centre,0
Mono Mills,0
Mono Road,0
Monsell,0
Montagnac,0
Montague,1834
Montague Gold Mines,0
Mont-Albert,0
Montauban-les-Mines,0
Mont-Bleu,0
Montcalm,0
Montcalm,0
Mont-Carrier,0
Mont-Cascades,0
Montcerf-Lytton,0
Mont-Dufresne,0
Monteagle,0
Monteagle,0
Monteagle Valley,0
Montebello,978
Montebello,0
Monte Creek,0
Monteith,0
Monte Lake,0
Montfort,0
Mont-Gabriel,0
Montgomery Place,0
Mont-Howard,0
Monticello,0
Montigny,0
Montjoie,0
Mont-Joie,0
Mont-Laurier,13405
Montmartre,0
Mont Nebo,0
Mont-Orford,0
Montpellier,0
Montplaisant,0
Montréal-Est,3850
Montréal-Ouest,5184
Montreal River,0
Montrock,0
Montrose,0
Montrose,0
Montrose,996
Mont-Royal,18933
Mont-Sainte-Anne,0
Mont-Saint-Grégoire,3086
Mont-Saint-Hilaire,15720
Mont-Saint-Michel,0
Mont-Saint-Pierre,0
Mont-Saint-Pierre,0
Mont-Tremblant,8892
Mont-Wright,0
Monument Corners,0
Moonbeam,0
Mooneys Bay,0
Moon River,0
Moons Beach,0
Moons Corners,0
Moonstone,0
Moorcrest,0
Moore Centre,0
Moore Falls,0
Moore Park,0
Moore Park,0
Mooresburg,0
Moores Corners,0
Moores Lake,0
Moores Mills,0
Mooresville,0
Mooretown,0
Moor Lake,0
Mooscana,0
Moose Brook,0
Moose Factory,1807
Moose Harbour,0
Moose Heights,0
Moose Hill,0
Moose Hill,0
Moosehorn,0
Moose Jaw,33890
Moose Lake,0
Moose Range,0
Moose River,0
Moose River,0
Moose River,0
Moose River,0
Moose River Gold Mines,0
Moosomin,2485
Moosonee,1405
Moraviantown,0
Moray,0
Morden,0
Morden,8668
Morecambe,0
Morehouse Corner,0
Moreland,0
Morell,0
Morewood,0
Morgans Point,0
Morganston,0
Morganville,0
Morien,0
Morien Hill,0
Morin-Heights,3925
Morinus,0
Morinville,9848
Morley,0
Morna,0
Morna Heights,0
Morningside,0
Morrin,0
Morris,1916
Morrisburg,3014
Morrisdale,0
Morrish,0
Morris Island,0
Morrison,0
Morrison,0
Morrison Landing,0
Morristown,0
Morristown,0
Morrisville,0
Morrisville,0
Morse,0
Morse's Line,0
Mortimer,0
Mortimers Point,0
Mortlach,0
Morven,0
Moschelle,0
Moscow,0
Moser River,0
Moserville,0
Mosher,0
Moshers Corner,0
Moshers Island,0
Mosherville,0
Mossbank,0
Moss Glen,0
Mossington Park,0
Mossleigh,0
Mossley,0
Motherwell,0
Motts Mills,0
Moulin-Caron,0
Moulin-Samson,0
Moulton Hill,0
Moulton Station,0
Mountain Chutes,0
Mountain Front,0
Mountain Gardens,0
Mountain Grove,0
Mountain Lake,0
Mountain Road,0
Mountain Station,0
Mountain View,0
Mountain View,0
Mountain View,0
Mountain View,0
Mountain View,0
Mountain View Beach,0
Mount Albert,4925
Mount Albion,0
Mount Carmel,0
Mount Carmel,0
Mount Carmel,0
Mount Carmel,0
Mount Carmel,0
Mount Carmel-Mitchells Brook-St. Catherines,0
Mount Charles,0
Mount Chesney,0
Mount Currie,1242
Mount Denson,0
Mount Elgin,0
Mount Forest,0
Mount Hanley,0
Mount Healy,0
Mount Hebron,0
Mount Hope,0
Mount Hope,0
Mount Horeb,0
Mount Irwin,0
Mountjoy,0
Mount Joy,0
Mount Julian,0
Mount Lehman,1558
Mount Loyal,0
Mount MacDonald,0
Mount Middleton,0
Mount Moriah,0
Mount Nemo,0
Mount Pearl,23120
Mount Pisgah,0
Mount Pleasant,0
Mount Pleasant,0
Mount Pleasant,0
Mount Pleasant,0
Mount Pleasant,0
Mount Pleasant,0
Mount Pleasant,0
Mount Pleasant,0
Mount Pleasant,0
Mount Pleasant,0
Mount Pleasant,33000
Mount Prospect,0
Mount Rose,0
Mount Royal,0
Mount Royal,0
Mount Royal West,0
Mount Salem,0
Mountsberg,0
Mount Stephen,0
Mount Stewart,0
Mount St. Louis,0
Mount St. Patrick,0
Mount Uniacke,0
Mount Vernon,0
Mount Vernon,0
Mount View,0
Mount View,0
Mountville,0
Mountville,0
Mount Whatley,0
Mount William,0
Mount Zion,0
Mount Zion,0
Mouth of Keswick,0
Mowat Landing,0
Moyie,0
Mud River,0
Muenster,0
Mugg's Island,0
Muir,0
Muirkirk,0
Muldrew Lake,0
Mulgrave,627
Mulgrave,0
Mulgrave-et-Derry,0
Mulgrave Park,0
Mulhern,0
Mulhurst,0
Mull,0
Mullifarry,0
Mulligan Ferry,0
Mulloys,0
Mulmur,0
Mulock,0
Mulock,0
Mulvihill,0
Muncey,0
Mundare,0
Mundleville,0
Munro,0
Munroes Mills,0
Munson,0
Munster,1145
Murchison,0
Murillo,0
Murphy Beach,0
Murphy Corners,0
Murphy Cove,0
Murphy Lake,0
Murphy Settlement,0
Murray,0
Murray Harbour,0
Murray Hill,0
Murray Mine,0
Murray River,0
Murray Road,0
Murray Settlement,0
Murray Siding,0
Murrell,0
Murvale,0
Musclow,0
Musgrave Harbour,0
Musgravetown,0
Mushaboom,0
Muskoka,0
Muskoka Beach,0
Muskoka Falls,0
Muskoka Lodge,0
Musquash,0
Musquodoboit Harbour,0
Musselman's Lake,0
Mutton Bay,0
Muttonville,0
Myers Cave,0
Myers Point,0
Myrehall,0
Myrnam,0
Myrtle,0
Myrtle Station,0
Mystic,0
Nackawic,941
Nacmine,0
Nahma,0
Naicam,0
Nairn,0
Nairn Centre,0
Naisberry,0
Nakamun Park,0
Nakina,0
Nakoma,0
Nakusp,1706
Nampa,0
Namur,633
Nanaimo,90504
Nantel,0
Nantes,0
Nanticoke,0
Nanton,2181
Nantyr,0
Nantyr Park,0
Naongashing,0
Napanee,7439
Naphan,0
Napier,0
Napierville,3124
Napinka,0
Nappan,0
Napperton,0
Narcisse,0
Narol,0
Narrows,0
Narva,0
Nashville,0
Nashwaak Bridge,0
Nashwaaksis,0
Nashwaak Village,0
Nasonworth,0
Nass Camp,0
Natal,0
Natashquan,246
Nation Valley,0
Naudville,0
Nauglers Settlement,0
Nauwigewauk,0
Navarre,0
Nazko,0
Nechako,0
NE Crescent Heights,0
Necum Teuch,0
Neebing,1986
Neebish,0
Neelin,0
Neely,0
Neepawa,4609
Neerlandia,0
Neidpath,0
Neilburg,0
Neils Harbour,0
Nelles Corners,0
Nelles Estates,0
Nellie Lake,0
Nelson,0
Nelson,10664
Nelson Beach,0
Nelson Junction,0
Nelson-Miramichi,0
Nelson Park,0
Nemegos,0
Nemiscau,0
Nemiscau,0
Nenagh,0
Nepean,180000
Nestleton,0
Nestleton Station,0
Netherby,0
Netherhill,0
Neudorf,0
Neustadt,517
Nevada Valley,0
Neville,0
New Aberdeen,0
New Aiyansh,0
New Albany,0
Newark,0
New Avon,0
Newaygo,0
Newboro,0
New Bothwell,0
Newboyne,0
Newbridge,0
New Brigden,0
New Brighton,0
Newbrook,0
Newburgh,0
Newburne,0
Newbury,0
New California,0
New Campbellton,0
New Canaan,0
New Canaan,0
New Canada,0
New Carlow,0
Newcastle,0
Newcastle Bridge,0
Newcastle Centre,0
Newcastle Creek,0
Newcastle Village,0
New Chester,0
Newcomb Corner,0
Newcombville,0
New Credit,0
New Cumberland,0
New Currie,0
Newdale,0
New Dayton,0
New Denver,487
New Dundee,0
New Durham,0
New Edinburgh,0
New Edinburgh,0
Newellton,0
New Elm,0
New England Settlement,0
New Flos,0
Newfoundout,0
New France,0
New Gamebridge Beach,0
New Germany,0
New Glasgow,18665
New Glasgow,0
New Glasgow,0
New Grafton,0
New Hamburg,13595
New Harbour,0
New Harbour,0
New Harbour East,0
New Harbour West,0
New Harris Forks,0
New Harris Settlement,0
New Haven,0
New Haven-Riverdale,0
New Hazelton,627
Newholm,0
New Horton,0
New Lairg,0
New Line Road,0
New Liskeard,0
New London,0
Newman's Beach,0
Newmans Cove,0
Newmanville,0
New Market,0
Newmarket,91034
New Maryland,4174
New Mexico,0
New Minas,0
New Norway,0
New Osgoode,0
New Osnaburgh,0
New Park,0
New Perlican,0
Newport,0
Newport Corner,0
Newport Station,0
New Prospect,0
New Prussia,0
New River Beach,0
New Ross,0
New Russell,0
Newry,0
New Salem,0
New Sarepta,0
New Sarum,0
New Scotland,0
New Scotland,0
New Scotland,0
New Settlement,0
New Sudbury,0
Newton,0
Newton Brook,0
Newton Mills,0
Newtonville,0
Newtonville,0
Newtown,0
Newtown,0
Newtown,0
New Truro Road,0
New Tusket,0
New Uhthoff,0
New Victoria,0
New Waterford,0
New Westminster,78916
New-Wes-Valley,2044
New Zion,0
Neys,0
Nezah,0
Niagara Falls,99818
Niagara Falls Centre,0
Niagara Falls South,0
Niagara Gardens,0
Niagara-on-the-Lake,17511
Nichabau,0
Nicholson,0
Nicholson,0
Nicholsons Point,0
Nicholsville,0
Nickel Centre,0
Nickeldale,0
Nicola,0
Nicolet,5669
Nicolston,0
Nictaux,0
Nictaux East,0
Nictaux Falls,0
Nictaux South,0
Nictaux West,0
Night Hawk Centre,0
Nile,0
Niles Corners,0
Nilestown,0
Nimpkish,0
Nimpo Lake,0
Nine Mile River,0
Ninette,0
Nineveh,0
Ninga,0
Nipawin,4401
Nipigon,0
Nipissing Beach,0
Nipissing Junction,0
Nipissing Ouest,0
Nippers Harbour,0
Nisku,0
Nitchequon,0
Nithburg,0
Nith Grove,0
Niton,0
Nitro,0
Niverville,4083
Niweme,0
Nixon,0
Nixon,0
Nobbs Siding,0
Nobel,0
Nober,0
Nobleford,0
Nobleton,0
Noel,0
Noel Road,0
Noel Shore,0
Nogies Creek,0
Noinville,0
Nokomis,0
Nolans Corners,0
Nominingue,0
Noonan,1042
Nora,0
Noral,0
Nordegg,0
Nordic Townsite,0
Norembega,0
Norfolk County,60847
Norglenwold,0
Normandie,0
Normandin,2728
Normandy Heights,0
Normanhurst,0
Norman's Cove-Long Cove,0
Normanview,0
Normanview West,0
Norman Wells,1027
Normétal,778
Norquay,0
Norris Arm,0
Norris Beach,0
Norris Point,0
North Ainslie,0
North Alton,0
North Battleford,19440
North Bay,50396
North Beaver Bank,0
North Bend,0
North Bloomfield,0
North Branch,0
North Branch,0
North Brookfield,0
North Bruce,0
North Bulkley,0
North Buxton,0
North Campbell River,0
North Chegoggin,0
North Clarendon,0
North Cobalt,0
North Cooking Lake,0
Northcote,0
North Cowichan,29676
Northcrest,0
Northdale,0
North Devon,0
North Earltown,0
Northeastern Manitoulin and the Islands,0
North East Harbour,0
Northeast Mabou,0
North East Margaree,0
North East Point,0
North Ekfrid,0
North End,0
Northern Arm,0
Northern Harbour,0
Northern Heights,0
North Esk Boom,0
Northfield,0
Northfield,0
Northfield,0
Northfield,0
Northfield,0
Northfield Station,0
North Flats,0
North Forks,0
North Fourchu,0
North Framboise,0
North Galiano,0
Northgate,0
North Georgetown,0
North Glanford,0
North Grant,0
North Grove,0
North Hall,0
North Harbour,0
North Hatley,0
North Head,0
North Intervale,0
North Kemptville,0
North Kingston,0
North Lake,0
North Lakevale,0
Northland,0
North Lochaber,0
North Lonsdale,0
North Low,0
North Lunenburg,0
North McIntyre,0
North Medford,0
North Middleboro,0
North Minto,0
North Monetville,0
North Nation Mills,0
North Nechako,0
North Noel Road,0
North Ogden,0
North Onslow,0
North Park,0
North Park,0
North Pelham,0
North Perth,13130
North Poplar,0
Northport,0
North Portage,0
North Portal,0
North Preston,0
North Range,0
North Renous,0
Northridge,0
North Ridge,0
North River,0
North River,0
North River,0
North River Bridge,0
North River Centre,0
North Riverside,0
North Road,0
North Rogersville,0
North Russell,0
North Rustico,0
North Saanich,11089
North Salem,0
North Seguin,0
North Shore,0
North Shore,0
North Shore,0
Northside East Bay,0
North Side Whycocomagh Bay,0
North Star,0
North Sutton,0
North Sydney,0
North Tay,0
North Thamesville,0
North Toronto,0
North Valley,0
North Vancouver,88168
Northville,0
North Wallace,0
North Wallace Bay,0
North Ward,0
Northwest,0
North West Arm,0
Northwest Basin,0
Northwest Bay,0
Northwest Bridge,0
Northwest Cove,0
North West Harbour,0
North West River,0
North Williamston,0
North Wiltshire,0
North Winchester,0
Northwood,0
Northwood Park,0
North Woodslee,0
North Woolwich,0
Norton,0
Norton Creek,0
Norval,0
Norvern Shores,0
Norway Bay,0
Norway Point,0
Norwich,0
Norwood,0
Norwood,1380
Norwood,0
Nosbonsing,0
Notikewin,0
Notre-Dame,0
Notre-Dame-de-Bon-Secours-Partie-Nord,0
Notre-Dame-de-Ham,0
Notre-Dame-de-la-Merci,0
Notre-Dame-de-la-Salette,0
Notre-Dame-de-la-Salette,0
Notre-Dame-de-l'Île-Perrot,9885
Notre-Dame-de-Lorette,0
Notre Dame de Lourdes,0
Notre-Dame-de-Montauban,0
Notre-Dame-de-Pierreville,0
Notre-Dame-de-Pontmain,0
Notre-Dame-des-Anges,0
Notre-Dame-des-Bois,0
Notre-Dame-des-Champs,0
Notre-Dame-des-Prairies,8230
Notre-Dame-des-Victoires,0
Notre-Dame-du-Bon-Conseil,0
Notre Dame du Lac,0
Notre-Dame-du-Lac,1184
Notre-Dame-du-Laus,0
Notre-Dame-du-Mont-Carmel,1091
Notre-Dame-du-Nord,0
Notre-Dame-du-Rosaire,0
Notre-Dame-du-Sourire,0
Nottingham,0
Nouveau-Salaberry,0
Novar,0
Nowlanville,0
Noyan,1418
Nuchatlitz,0
Nudell Bush,0
Nukko Lake,0
Numogate,0
Nursery,0
Nutana,0
Nutana Park South,0
Nuttby,0
NW Crescent Heights,0
Nyanza,0
Oak Acres,0
Oakbank,0
Oak Bay,0
Oak Bay,18015
Oak Bluff,0
Oakburn,0
Oakdale,0
Oakdene Point,0
Oakfield,0
Oakfield,0
Oak Flats,0
Oakgrove,0
Oak Haven,0
Oak Heights,0
Oakhill,0
Oak Hill,0
Oak Hills,0
Oak Lake,0
Oak Lake,0
Oak Lake,0
Oakland,0
Oakland,0
Oak Leaf,0
Oakmont,0
Oak Orchard,0
Oak Park,0
Oak Point,0
Oakridge Acres,0
Oakridge Park,0
Oak Ridges,0
Oak River,0
Oakshela,0
Oak Valley,0
Oakville,213759
Oakville,0
Oakwood,0
Oakwood Corners,0
Oasis,0
Oba,0
Obalski,0
Oban,0
Oban,0
Obaska,0
Obedjiwan,0
O'Brien,0
O'Briens Landing,0
Ocean Falls,0
Ocean Grove,0
Ocean Park,0
Ochre River,0
O'Connor,0
Oconto,0
Odessa,0
Odessa,0
O'Donnell Landing,0
Off Lake Corner,0
Ogden,0
Ogden,0
Ogden Mill,0
Ogdensburg,0
Ogema,0
Ogilvie,0
Ogoki,0
O'Grady Settlement,0
Ohaton,0
Ohio,0
Ohio,0
Ohio-Du-Barachois,0
Ohsweken,1500
Oil Springs,0
Ojibway,0
Ojibway Island,0
Oka,1254
Okanagan Centre,0
Okanagan Falls,2266
Oka-sur-la-Montagne,0
Okotoks,14826
Old Barns,0
Old Bella Bella,0
Oldcastle,0
Old Chelsea,0
Old Cobequid Road,0
Old Cut,0
Oldfield,0
Old Fort,0
Old Fort Erie,0
Old Fort Nelson,0
Old Glenridge,0
Oldham,0
Old-Harry,0
Old Holland Road,0
Old Massett,107
Old Mill,0
Old Perlican,0
Old Ridge,0
Olds,8944
Old Stittsville,0
Old Wives,0
Old Woman's River,0
O'Leary,0
Olinda,0
Oliphant,0
Oliver,0
Oliver,0
Oliver,0
Oliver,5094
Oliver Corner,0
Oliver's Landing,0
Olivet,0
Omagh,0
Ombabika,0
Omerville,0
Ompah,0
Onagon,0
Onakawana,0
Onanole,0
Onaping,0
Onaping Falls,0
O'Neil,0
Onion Lake,0
Onoway,0
Onslow,0
Onslow Corners,0
Onslow Mountain,0
Ootischenia,0
Opasatika,0
Opasquia,0
Open Hall,0
Ophir,0
Ops,0
Orangedale,0
Orangedale East,0
Orange Hill,0
Orangeville,30734
Oranmore,0
Orcadia,0
Orchard,0
Orchard Beach,0
Orchard Heights,0
Orchard Park,0
Orchard Park,0
Orchardside,0
Orchardville,0
Oregon,0
O'Reilly's Bridge,0
Orford Lake,0
Oriel,0
Orient,0
Orient Bay,0
Orillia,31166
Orkney Beach,0
Orlo,0
Ormond,0
Ormond Beach,0
Ormsby,0
Ormstown,1730
Oro,0
Oromocto,8805
Oromocto West,0
Oro Station,0
Orr Lake,0
Orr's Lake,0
Orrville,0
Orton,0
Osaca,0
Osage,0
Osborn,0
Osborne,0
Osborne,0
Osborne Corner,0
Osborne Corners,0
Osborne Harbour,0
Oshawa,175383
Osler,0
Oso,0
Osoyoos,5556
Osprey Lake,0
Ospringe,0
Osseo,0
Ostrander,0
Ostrea Lake,0
Ostrom,0
Ostryhon Corners,0
Oswego Park,0
Ottawa East,0
Ottawa South,0
Ottawa West,0
Otter,0
Otter,0
Otter Brook,0
Otterburn Park,8464
Otter Cove,0
Otter Creek,0
Otter Creek,0
Otter Lake,0
Ottermere,0
Otter Rapids,0
Otway,0
Ouellette,0
Ouimet,0
Oungah,0
Oustic,0
Outlet,0
Outlook,0
Outlook,2279
Outram,0
Outram,0
Ouvry,0
Overbrook,0
Overton,0
Owakonze,0
Oweekeno,0
Owenbrook,0
Owen Sound,21341
Owls Head Harbour,0
Oxbow,1058
Oxdrift,0
Oxford,1190
Oxford Centre,0
Oxford House,0
Oxford Junction,0
Oxford Park,0
Oxford Station,0
Oxmead,0
Oyama,0
Oyen,0
Oyster River,1500
Pacific Heights,0
Pacific Park,0
Pacquet,0
Paddle Prairie,544
Paddockwood,0
Paget,0
Pagwa River,0
Pain Court,0
Painsec,0
Painsec Junction,0
Painswick,0
Paisley,1045
Pakenham,0
Pakesley,0
Paldi,0
Palermo,0
Palgrave,0
Palling,0
Palling,0
Palliser Heights,0
Palmarolle,0
Palm Beach,0
Palmer,0
Palmer,10
Palmer Rapids,0
Palmerston,0
Palmyra,0
Pambrun,0
Pamdenec,0
Pangman,0
Panmure,0
Panorama Ridge,0
Panuke Road,0
Papinachois,0
Papineauville,1600
Paquette,0
Paquin,0
Paradis,0
Paradise,22957
Paradise,0
Paradise Beach,0
Paradise Hill,0
Paradise Valley,0
Parc-Aylmer,0
Parc-Bel-Air,0
Parc-Belvoir,0
Parc-Champlain,0
Parc-Champlain,0
Parc-Connaught,0
Parc-de-la-Montagne,0
Parc-Glenwood,0
Parc-Jeanne-Mance,0
Parc-Laurier,0
Parc-Saint-Laurent,0
Parc-Tisseur,0
Pardee,0
Parham,0
Parkbeg,0
Parkdale,0
Parkdale,0
Parkdale,0
Parkdale Boulevard,0
Parker,0
Parker Hill,0
Parker Road,0
Parkers Corners,0
Parkers Cove,0
Parkers Cove,0
Parkersville,0
Park Head,0
Parkhill,1737
Parkindale,0
Parkinson,0
Parkland,0
Parkland Beach,0
Parkridge,0
Park Royal,0
Parkside,0
Parkside Beach,0
Park Siding,0
Parksville,12000
Parkview Heights,0
Parkview Hill,0
Parkway East,0
Parkway Park,0
Parkway West,0
Parkwood,0
Parkwood Hills,0
Parlee Brook,0
Parleeville,0
Parliament Place,0
Parrsboro,1472
Parry Island,0
Parry Sound,6321
Parson's Pond,0
Parthia,0
Partridge Valley,0
Pasadena,3620
Pascalis,0
Pascobac,0
Pasqua,0
Passchendaele,0
Passe-Gagnon,0
Passekeag,0
Pass Lake,0
Passmore,0
Paswegin,0
Patelin-Leroux,0
Patricia,0
Patterson,0
Patterson,0
Patterson,0
Pattersons Corners,0
Patton,0
Paudash,0
Paudash Lake,0
Paugan Falls,0
Paugh Lake,0
Paulatuk,0
Pavilion,48
Payne,0
Paynes Mills,0
Paynton,0
Peabody,0
Peabody,0
Peace River,6842
Peachland,5006
Peacock Point,0
Pearceley,0
Pearceton,0
Pearl,0
Pearl Lake,0
Pearsonville,0
Peas Brook,0
Peawanuck,0
Pebble Baye,0
Peekaboo Corner,0
Peekaboo Point,0
Peel Village,0
Peepabun,0
Peerless,0
Peers,0
Peesane,0
Pefferlaw,0
Peffers,0
Peggys Cove,0
Pelee Island South,0
Pelerin,0
Pelham,0
Pelham,0
Pelham Centre,0
Pelham Corners,0
Pelham Union,0
Pelican Narrows,1942
Pelican Narrows,0
Pelican Pointe,0
Pelletier Bridge,0
Pelly,0
Pelly Crossing,0
Pelton,0
